"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatotLevenshtein record1Value","[0] RestaurantNameComparatotLevenshtein record2Value","[0] RestaurantNameComparatotLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatotLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatotLevenshtein similarity","[0] RestaurantNameComparatotLevenshtein postproccesedSimilarity","[1] RestaurantAddressComparatorLevenshtein record1Value","[1] RestaurantAddressComparatorLevenshtein record2Value","[1] RestaurantAddressComparatorLevenshtein record1PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein record2PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein similarity","[1] RestaurantAddressComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato_2813","yelp_1977","0.20454545454545453",,"house thai taste","open space","house thai taste","open space","0.25","0.25","12824 venice boulevard","457 n fairfax avenue","12824 venice boulevard","457 n fairfax avenue","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","zomato_5811","yelp_971","0.25535714285714284",,"pescatore","cornerstone cafe","pescatore","cornerstone cafe","0.1875","0.1875","955 2nd avenue","17 avenue b","955 2nd avenue","17 avenue b","0.3571428571428571","0.3571428571428571"
"LinearCombinationMatchingRule","zomato_820","yelp_2053","0.20971867007672634",,"cozy noodles rice","rollapalooza","cozy noodles rice","rollapalooza","0.11764705882352944","0.11764705882352944","3456 n sheffield avenue","3344 n halsted street","3456 n sheffield avenue","3344 n halsted street","0.34782608695652173","0.34782608695652173"
"LinearCombinationMatchingRule","zomato_7286","yelp_442","0.35789473684210527",,"ginger man","prince street pizza","ginger man","prince street pizza","0.26315789473684215","0.26315789473684215","11 e 36th street","27 prince street","11 e 36th street","27 prince street","0.5","0.5"
"LinearCombinationMatchingRule","zomato_820","yelp_2052","0.24450127877237854",,"cozy noodles rice","ignotz ristorante","cozy noodles rice","ignotz ristorante","0.11764705882352944","0.11764705882352944","3456 n sheffield avenue","2421 oakley avenue","3456 n sheffield avenue","2421 oakley avenue","0.4347826086956522","0.4347826086956522"
"LinearCombinationMatchingRule","zomato_7286","yelp_443","0.33999999999999997",,"ginger man","jane","ginger man","jane","0.19999999999999996","0.19999999999999996","11 e 36th street","100 w houston street","11 e 36th street","100 w houston street","0.55","0.55"
"LinearCombinationMatchingRule","zomato_3352","yelp_1930","0.37450980392156863",,"la maison du pain","fukurou ramen","la maison du pain","fukurou ramen","0.23529411764705888","0.23529411764705888","5373 w pico boulevard","5103 hollywood boulevard","5373 w pico boulevard","5103 hollywood boulevard","0.5833333333333333","0.5833333333333333"
"LinearCombinationMatchingRule","zomato_6618","yelp_357","0.2171428571428572",,"per lei","taqueria kermes","per lei","taqueria kermes","0.2666666666666667","0.2666666666666667","1347 2nd avenue","66 36 fresh pond road","1347 2nd avenue","66 36 fresh pond road","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_820","yelp_2051","0.27928388746803073",,"cozy noodles rice","boeufhaus","cozy noodles rice","boeufhaus","0.11764705882352944","0.11764705882352944","3456 n sheffield avenue","1012 n western avenue","3456 n sheffield avenue","1012 n western avenue","0.5217391304347826","0.5217391304347826"
"LinearCombinationMatchingRule","zomato_6053","yelp_621","0.2078947368421053",,"hara restaurant pub","havana social","hara restaurant pub","havana social","0.26315789473684215","0.26315789473684215","120 cedar street","688 10th avenue","120 cedar street","688 10th avenue","0.125","0.125"
"LinearCombinationMatchingRule","zomato_3835","yelp_1586","0.264",,"grill","sage organic vegan bistro","grill","sage organic vegan bistro","0.12","0.12","3832 w wilshire boulevard","1700 sunset boulevard","3832 w wilshire boulevard","1700 sunset boulevard","0.48","0.48"
"LinearCombinationMatchingRule","zomato_782","yelp_2852","0.21428571428571425",,"orso","sushi tokoro","orso","sushi tokoro","0.16666666666666663","0.16666666666666663","1401 n wells street","4750 n western avenue","1401 n wells street","4750 n western avenue","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","zomato_782","yelp_2851","0.17272727272727267",,"orso","bourgeois pig cafe","orso","bourgeois pig cafe","0.16666666666666663","0.16666666666666663","1401 n wells street","738 w fullerton avenue","1401 n wells street","738 w fullerton avenue","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","zomato_6066","yelp_610","0.3285714285714286",,"mustang harry","macdonough caf","mustang harry","macdonough caf","0.2142857142857143","0.2142857142857143","352 7th avenue","83 saratoga avenue","352 7th avenue","83 saratoga avenue","0.5","0.5"
"LinearCombinationMatchingRule","zomato_7246","yelp_403","0.12380952380952386",,"l express","odeon","l express","odeon","0.11111111111111116","0.11111111111111116","249 park avenue south","145 w broadway","249 park avenue south","145 w broadway","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_573","yelp_2638","0.36160990712074303",,"giordano","chicago fire market","giordano","chicago fire market","0.21052631578947367","0.21052631578947367","730 n rush street","623 w 31st street","730 n rush street","623 w 31st street","0.5882352941176471","0.5882352941176471"
"LinearCombinationMatchingRule","zomato_573","yelp_2639","0.1523076923076923",,"giordano","jerk modern jamaican grill","giordano","jerk modern jamaican grill","0.15384615384615385","0.15384615384615385","730 n rush street","811 w chicago avenue","730 n rush street","811 w chicago avenue","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","zomato_7384","yelp_523","0.3535714285714286",,"antique garage","jolie cantina","antique garage","jolie cantina","0.2142857142857143","0.2142857142857143","41 mercer street","241 smith street","41 mercer street","241 smith street","0.5625","0.5625"
"LinearCombinationMatchingRule","zomato_6086","yelp_7","0.2284210526315789",,"le marais","wolfnights","le marais","wolfnights","0.09999999999999998","0.09999999999999998","150 w 46th street","99 rivington street","150 w 46th street","99 rivington street","0.42105263157894735","0.42105263157894735"
"LinearCombinationMatchingRule","zomato_855","yelp_2929","0.16231003039513683",,"wicker park sushi bar","doc b","wicker park sushi bar","doc b","0.1428571428571429","0.1428571428571429","hare international airport terminal 2 main hall","55 e grand avenue","hare international airport terminal 2 main hall","55 e grand avenue","0.19148936170212771","0.19148936170212771"
